node,community,weighted_degree,betweenness
user_33108,1,8.0,0.0
user_6235,1,10.0,0.0005348603429715159
user_15698,1,12.0,0.0
user_18912,1,12.0,3.565206200956622e-05
user_2524,6,9.0,5.246393104740491e-06
user_33730,1,8.0,0.0
user_14074,3,17.0,0.0001214620013623503
user_2325,1,9.0,0.0
user_31343,4,137.0,0.0017908443076182824
user_13224,4,17.0,5.817678667594351e-07
user_5531,4,25.0,0.0002913758835175013
user_17038,1,20.0,0.000474318691645604
user_19158,1,17.0,6.767922304251948e-06
user_31380,1,11.0,4.48527321011297e-06
user_33701,1,14.0,6.1832490163012925e-06
user_10243,1,6.0,0.0
user_18894,1,24.0,8.208046994623995e-07
user_21167,1,24.0,5.4177011778244355e-05
user_3058,1,7.0,0.0
user_35,1,11.0,3.1565555174324153e-06
user_3519,1,14.0,1.8581867823014537e-05
user_8530,1,5.0,0.0
user_8798,2,14.0,7.944912928340271e-07
user_16883,4,317.0,0.0018709011227389107
user_22182,0,146.0,0.0006401092368688767
user_18719,6,111.0,0.0020802674772002375
user_23696,1,12.0,2.7836611652839565e-05
user_29134,4,12.0,7.347764282997788e-07
user_4254,1,10.0,1.539984039665118e-05
user_4682,1,14.0,3.3771609215703233e-05
user_6483,1,35.0,0.00014127093627021553
user_13075,5,37.0,5.267478666810395e-05
user_33180,3,21.0,0.00018472837733891857
user_15834,5,37.0,0.00016299486722346903
user_20090,1,5.0,0.0
user_7410,1,15.0,0.00011820352765413721
user_967,0,90.0,0.003601552163259743
user_11438,7,196.0,0.0016128755297747308
user_19026,3,57.0,0.001777648582672885
user_15972,1,32.0,3.15222757355066e-05
user_29923,3,156.0,0.0005000299116091793
user_3965,4,190.0,0.001530854459012608
user_9096,3,75.0,0.0006110315516656562
user_11514,1,8.0,0.0
user_17065,7,23.0,1.1618314841830848e-06
user_30408,4,17.0,5.501498388106809e-06
user_11505,0,12.0,3.2168297011173906e-06
user_16951,3,42.0,0.0007936064010533419
user_12629,1,24.0,1.991661745288807e-05
user_27247,0,63.0,0.0002328397782884261
user_2798,3,352.0,0.003419316070690429
user_32148,1,20.0,0.0
user_21609,0,35.0,2.1084859643640167e-05
user_26406,1,40.0,0.00021353815291479526
user_4156,5,34.0,0.0006431241614684701
user_1100,5,19.0,4.2224653169522776e-05
user_11139,6,17.0,3.302217816480374e-05
user_17883,1,10.0,0.0
user_24744,4,19.0,8.63686164131587e-06
user_722,1,8.0,0.0
user_21951,1,15.0,5.581025148358361e-05
user_24820,1,3.0,0.0
user_2654,1,15.0,1.2217588768273382e-07
user_2788,1,3.0,0.0
user_34153,7,34.0,0.00045825435851185324
user_3742,7,11.0,0.0
user_6035,1,9.0,0.0
user_799,0,24.0,9.90513359642813e-05
user_8504,4,275.0,0.0019917731127311023
user_12354,1,28.0,0.00012942922704514443
user_12477,1,7.0,0.0
user_26568,1,13.0,3.3830446750314985e-05
user_28313,6,14.0,3.3906970133491285e-05
user_5977,5,57.0,2.79357471019475e-05
user_14755,6,100.0,0.0007292088216992355
user_24378,4,77.0,0.0003813077981315125
user_31616,4,29.0,0.00012058176006668802
user_12283,7,6.0,0.0
user_12466,1,7.0,0.0
user_1338,1,18.0,3.0542771831663234e-06
user_15145,6,39.0,0.00012461791443898202
user_17774,1,21.0,0.00029968019358750587
user_18220,1,19.0,7.396858337652663e-07
user_20201,6,40.0,0.0001676507115912802
user_20724,3,23.0,0.00010580889392839393
user_28936,3,18.0,1.2058070754218982e-08
user_29925,2,22.0,9.34638134262534e-05
user_11132,1,9.0,0.0
user_14826,0,144.0,0.0010996190199140594
user_25893,3,45.0,0.00012863797406615951
user_11506,1,90.0,0.00023301062579565363
user_2221,1,18.0,0.00015756985167693778
user_25796,2,17.0,2.560131434757461e-05
user_30240,1,11.0,7.771251962198715e-06
user_3134,1,28.0,3.192728493462268e-05
user_11711,5,23.0,0.00013462975591791855
user_3750,2,61.0,0.00090208148036558
user_11723,1,7.0,0.0
user_14757,3,115.0,0.000892223511582863
user_18226,1,5.0,0.0
user_20078,1,10.0,0.0
user_27570,1,3.0,0.0
user_27650,1,3.0,0.0
user_28136,3,6.0,0.0
user_18466,2,25.0,0.00016371008744601445
user_23581,1,14.0,1.8314789932189e-05
user_19185,1,34.0,0.0006606087797083418
user_25872,1,9.0,0.0
user_2596,3,11.0,0.0
user_26798,1,8.0,0.0
user_30568,1,96.0,0.0008457907750780753
user_32109,3,88.0,0.00011935297885816636
user_6897,1,21.0,8.459588087082717e-05
user_16389,1,14.0,4.544106650789468e-07
user_3122,1,5.0,0.0
user_32411,6,71.0,0.00021890967093990638
user_4543,1,35.0,0.00031364616658038084
user_17225,1,9.0,2.87608399950225e-05
user_17742,2,124.0,0.000464340775947674
user_21764,1,18.0,8.217227345052107e-05
user_27946,1,7.0,6.245706077072034e-05
user_9152,1,5.0,0.0
user_1735,0,16.0,1.0562637441047486e-05
user_28355,1,15.0,1.6344210296526525e-05
user_30506,1,18.0,5.5751920678745605e-05
user_5734,3,6.0,3.357691587033919e-05
user_1061,1,13.0,0.00010408598795778587
user_17751,1,8.0,0.0
user_19798,1,3.0,0.0
user_22974,1,14.0,1.680615016343691e-05
user_2374,4,169.0,0.0011186816289145821
